run_type,final_return_%,CAGR_%,Sharpe,MaxDD_%,total_trades,bh_final_return_%,bh_CAGR_%,bh_Sharpe,bh_MaxDD_%,seed
all,53.665958404541016,10.639309883117676,0.5578629787446228,-24.082759857177734,37,39.91987609863281,8.22596549987793,0.4517707178275058,-27.261507034301758,1111
baseline,31.360769271850586,6.630122661590576,0.4041627570530476,-26.73884391784668,123,39.91987609863281,8.22596549987793,0.4517707178275058,-27.261507034301758,1111
headline,55.35615539550781,10.924506187438965,0.5672744209031444,-23.88358497619629,51,39.91987609863281,8.22596549987793,0.4517707178275058,-27.261507034301758,1111
techsent,5.0077080726623535,1.156604290008545,0.1609416827597567,-33.70945358276367,197,39.91987609863281,8.22596549987793,0.4517707178275058,-27.261507034301758,8
