run_type,final_return_%,CAGR_%,Sharpe,MaxDD_%,total_trades,bh_final_return_%,bh_CAGR_%,bh_Sharpe,bh_MaxDD_%,seed
all,5.17960786819458,2.3442506790161133,0.21684038132598796,-31.11615753173828,5,-6.423920631408691,-3.0006587505340576,0.02347135803673519,-32.008018493652344,1111
baseline,3.0048012733459473,1.3677358627319336,0.17921955788230598,-29.259761810302734,17,-6.423920631408691,-3.0006587505340576,0.02347135803673519,-32.008018493652344,8
headline,-4.973316192626953,-2.3135602474212646,0.04340828794205284,-31.260517120361328,3,-6.423920631408691,-3.0006587505340576,0.02347135803673519,-32.008018493652344,8
techsent,1.3185381889343262,0.602877140045166,0.14038556649204972,-30.232906341552734,47,-6.423920631408691,-3.0006587505340576,0.02347135803673519,-32.008018493652344,8
