run_type,final_return_%,CAGR_%,Sharpe,MaxDD_%,total_trades,bh_final_return_%,bh_CAGR_%,bh_Sharpe,bh_MaxDD_%,seed
all,-64.54002380371094,-32.375301361083984,-0.5409958185315971,-67.40509796142578,13,-66.85752868652344,-34.078128814697266,-0.4501197861337538,-74.11991119384766,8
baseline,-46.29660415649414,-20.909727096557617,-0.3605672569661219,-58.225460052490234,25,-66.85752868652344,-34.078128814697266,-0.4501197861337538,-74.11991119384766,1111
headline,-67.01032257080078,-34.19296646118164,-0.47349502056157167,-73.2514877319336,7,-66.85752868652344,-34.078128814697266,-0.4501197861337538,-74.11991119384766,8
techsent,-52.18871307373047,-24.302936553955078,-0.4930500040576507,-54.586307525634766,76,-66.85752868652344,-34.078128814697266,-0.4501197861337538,-74.11991119384766,8
