run_type,final_return_%,CAGR_%,Sharpe,MaxDD_%,total_trades,bh_final_return_%,bh_CAGR_%,bh_Sharpe,bh_MaxDD_%,seed
all,21.967077255249023,14.606893539428711,0.5700397229287829,-32.02713394165039,1,23.561359405517578,15.633320808410645,0.5934196690682217,-32.05568313598633,8
baseline,22.166656494140625,14.735614776611328,0.5874424557577885,-27.846750259399414,5,23.561359405517578,15.633320808410645,0.5934196690682217,-32.05568313598633,26
headline,23.03413200378418,15.294337272644043,0.6093684387303199,-26.70671272277832,5,23.561359405517578,15.633320808410645,0.5934196690682217,-32.05568313598633,26
techsent,21.967077255249023,14.606893539428711,0.5700397229287829,-32.02713394165039,1,23.561359405517578,15.633320808410645,0.5934196690682217,-32.05568313598633,8
