Date,macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close
2010-02-01,-0.6835317,-0.5883999,-0.43287045,-2.083475,-1.3886207,-1.5919913,-1.5550253,-1.4545766,-1.271441,-1.3909986,-1.5844184,0.20465592,-0.28839028,-0.98744994,5.8524504
2010-02-02,-0.7044379,-0.6196392,-0.40394187,-1.6212528,-1.2425662,-1.5934507,-1.5601288,-1.4373184,-1.3896768,-1.2196153,-1.5876597,0.05483579,0.0017691426,-0.8482288,5.886412
2010-02-03,-0.6936949,-0.6423537,-0.29536286,-1.1458614,-0.8069902,-1.5968785,-1.5620177,-1.2314287,-1.3908447,-0.8122995,-1.5894513,0.27277395,-0.49306574,-0.82584023,5.9876957
2010-02-04,-0.7300913,-0.6682393,-0.33575115,-1.4045625,-1.7350006,-1.5967406,-1.5691179,-1.5083116,-1.4960558,-1.2360141,-1.5935031,-0.7536705,0.55920404,-1.0182703,5.7719073
2010-02-05,-0.7309202,-0.6891234,-0.27204856,-1.248933,-1.2942634,-1.5985303,-1.5727535,-1.4962128,-1.5616335,-1.1359768,-1.5960146,0.2766593,-0.3449752,-0.7474577,5.874391
2010-02-08,-0.7362066,-0.70695114,-0.23311904,-1.0350008,-1.4674628,-1.6014093,-1.5762271,-1.5310732,-1.6185004,-1.13865,-1.5987406,-0.1854837,0.18477248,-1.2608534,5.8341174
2010-02-09,-0.7217126,-0.7181414,-0.14857902,-0.8882557,-1.1396941,-1.6042715,-1.578271,-1.2848262,-1.5635337,-0.71697176,-1.6005062,0.1462953,0.023437953,-1.0368998,5.8963313
2010-02-10,-0.7132609,-0.72530234,-0.09725767,-0.90612453,-1.2888421,-1.6061938,-1.5808383,-1.0962794,-1.4557745,-0.47039214,-1.6024657,-0.15921392,0.088452406,-0.9459139,5.8641725
2010-02-11,-0.67819107,-0.72359836,0.015654162,-0.6458581,-0.7940189,-1.6103615,-1.5807688,-0.39029184,-1.1176558,0.5288325,-1.6030368,0.29028353,-0.46055767,-0.28678334,5.970865
2010-02-12,-0.63519084,-0.7131217,0.12739146,-0.42578024,-0.5556635,-1.613951,-1.580243,0.1437821,-0.6908051,1.0860097,-1.6029745,0.11126687,-0.27755594,-0.48986578,6.0222583
2010-02-16,-0.5775505,-0.692524,0.2563022,0.03687461,0.1474906,-1.6149778,-1.5800709,0.6272866,-0.22387315,1.4969147,-1.6018956,0.23871957,-0.18003346,-0.48082203,6.1130223
2010-02-17,-0.5354395,-0.6671208,0.31750935,0.098212756,0.6698098,-1.6236302,-1.5753771,0.80324787,0.15378278,1.4051398,-1.6012074,-0.13780509,0.19319734,-0.6471456,6.0874767
2010-02-18,-0.49760294,-0.63877916,0.35493645,0.2189156,0.98141205,-1.6298804,-1.5719044,0.95875853,0.4642077,1.3511435,-1.6004559,-0.018135456,-0.16077106,-0.078383856,6.0988975
2010-02-19,-0.47471017,-0.61125386,0.34453788,0.23622799,0.66099006,-1.6338128,-1.570037,0.8546684,0.6318978,0.95110005,-1.6002026,-0.17770062,0.01862516,0.46669906,6.061028
2010-02-22,-0.4637182,-0.58690405,0.30409306,0.020270366,0.3573056,-1.6333342,-1.5695696,0.6182215,0.6545096,0.45862147,-1.6003968,-0.17672658,0.22691256,0.16071397,6.0234594
2010-02-23,-0.47653785,-0.57014114,0.20745833,-0.39677525,-0.45897716,-1.634928,-1.5700678,0.017015716,0.44282565,-0.48088086,-1.60171,-0.38201147,0.34971586,-0.23799056,5.9224777
2010-02-24,-0.46049082,-0.5533298,0.2080753,0.04602148,0.41562033,-1.6379174,-1.5688006,0.09147486,0.329787,-0.20275025,-1.6016791,0.29515064,-0.29681996,-0.22003196,6.0306735
2010-02-25,-0.43739462,-0.5349857,0.227598,0.2708828,0.74114823,-1.6425527,-1.5659878,0.2681607,0.32106915,0.1557544,-1.6011977,0.075259775,-0.56048805,0.6364652,6.0709443
2010-02-26,-0.40032515,-0.5124539,0.28093672,0.914383,1.1413515,-1.6397693,-1.5670158,0.66209453,0.4638383,0.7666307,-1.599875,0.19980578,-0.27394232,0.58506334,6.149688
2010-03-01,-0.34081852,-0.4818166,0.38417628,1.4458218,1.1943538,-1.6343917,-1.5665646,0.9533462,0.66887003,1.1027155,-1.5971986,0.37006533,-0.39434245,1.0103475,6.281025
2010-03-02,-0.29511017,-0.44761923,0.42951977,1.3995795,0.9162819,-1.6295114,-1.5666126,1.0203573,0.83083266,1.0466907,-1.5948247,-0.06872538,0.12577488,0.8878401,6.2768183
2010-03-03,-0.25651386,-0.41208124,0.4465957,1.1733555,1.0098605,-1.6249094,-1.5666004,1.1079812,0.97185695,1.0556333,-1.5925142,-0.008415115,-0.051205296,1.0666665,6.2912416
2010-03-04,-0.21780302,-0.37544644,0.46056575,1.1058502,1.257828,-1.6197342,-1.5679348,1.2819641,1.1314948,1.2132293,-1.5899565,0.07915285,-0.17641816,0.95259506,6.332715
2010-03-05,-0.1327468,-0.32811168,0.59685,1.8234655,1.2001319,-1.6091851,-1.5693687,1.3743316,1.2727587,1.231247,-1.5848527,0.7466008,-0.4870458,1.2495089,6.580365
2010-03-08,-0.06755448,-0.27642697,0.6522552,1.5684595,1.1668969,-1.5999131,-1.5706378,1.419306,1.3838975,1.1908137,-1.5801908,-0.04245869,0.10771645,1.1343741,6.5842724
2010-03-09,0.0072667375,-0.21922149,0.7225723,1.459182,1.0813118,-1.5892723,-1.5714355,1.4128838,1.455568,1.0948912,-1.574639,0.32823253,-0.5713244,1.4009523,6.7026873
2010-03-10,0.07434725,-0.15924002,0.7579303,1.3525906,1.2320616,-1.578659,-1.5722953,1.4670312,1.5237713,1.1224238,-1.5689996,0.12195198,-0.12585175,1.4442295,6.7573814
2010-03-11,0.1267039,-0.10015832,0.7464698,1.1408323,1.3023626,-1.5699201,-1.5705085,1.5400143,1.5967671,1.1815271,-1.563674,0.0091099,-0.19568062,1.6350751,6.7772183
2010-03-12,0.1699231,-0.043733057,0.71263516,1.0765804,1.1869639,-1.5611539,-1.5696511,1.5121778,1.6349323,1.0823047,-1.558483,0.051918298,0.0884508,1.8392265,6.810279
2010-03-15,0.17921567,0.003376645,0.59398335,0.66606075,0.88990027,-1.5554752,-1.5671235,1.3041261,1.5819042,0.733686,-1.5547209,-0.3236385,0.18115889,1.9300435,6.727329
2010-03-16,0.1847611,0.042239726,0.48894668,0.5952095,0.954579,-1.5498949,-1.565376,1.1990339,1.5069139,0.6135879,-1.5511105,0.0042412407,-0.036758896,1.8804557,6.7456617
2010-03-17,0.18090872,0.07251366,0.3795481,0.5350407,0.8435612,-1.5454571,-1.5622116,0.9884434,1.3774914,0.34871057,-1.547956,-0.0872198,0.089656375,1.7976944,6.735742
2010-03-18,0.17559204,0.09560606,0.28807643,0.42458406,0.8503141,-1.5414643,-1.5585148,0.7973964,1.219152,0.15596041,-1.5449221,-0.0035356495,-0.07047415,1.7485349,6.7516727
2010-03-19,0.14924426,0.10849573,0.15812609,0.29313904,0.40593648,-1.5397518,-1.5527899,0.3399916,0.94107157,-0.4228726,-1.5429899,-0.28860697,0.30155745,1.1549104,6.679544
2010-03-22,0.14007257,0.116863646,0.100532286,0.29362133,0.80995613,-1.5382336,-1.545479,0.25666368,0.724256,-0.33529732,-1.5403953,0.18811885,-0.51955205,1.2947567,6.7546773
2010-03-23,0.15201887,0.1260899,0.11146482,0.49843404,1.2342024,-1.5379987,-1.53423,0.66724575,0.7345725,0.4622756,-1.5368254,0.29612467,-0.33173442,1.4122031,6.863174
2010-03-24,0.1626763,0.13572966,0.116731465,0.6194126,1.1280447,-1.5371943,-1.5245436,0.8950688,0.827379,0.8036682,-1.5332537,0.04315965,-0.21253988,1.3996148,6.893529
2010-03-25,0.14681278,0.14007929,0.04935217,0.50736547,0.22235289,-1.5390754,-1.5134678,0.6184389,0.7849124,0.30756158,-1.5309429,-0.31974077,0.50984496,0.5442034,6.811783
2010-03-26,0.15779565,0.14588673,0.06791985,0.75142777,1.0581611,-1.5389428,-1.5039537,0.8538789,0.845403,0.7015137,-1.5274134,0.3583892,-0.23902792,0.81798095,6.939513
2010-03-29,0.1708991,0.15330988,0.08849852,1.0046023,0.94961965,-1.5369946,-1.4974457,0.9852762,0.9352895,0.8561724,-1.5237155,0.08985186,0.06919321,0.6657097,6.9842916
2010-03-30,0.19892527,0.16518824,0.14524493,1.4014975,0.9947937,-1.5342523,-1.4904668,1.0915681,1.0353043,0.9495638,-1.5191983,0.2815326,0.086046025,0.7706553,7.0882807
2010-03-31,0.20898487,0.17682299,0.14214182,1.1890216,0.83439535,-1.5340736,-1.4812262,1.0960541,1.1036727,0.87898535,-1.515399,-0.13781281,0.054745194,0.6123296,7.0627327
2010-04-01,0.2172431,0.18788108,0.13479649,1.1038465,0.81661737,-1.5345715,-1.4714103,1.0916879,1.1476053,0.81934047,-1.5116333,0.039274294,0.16912054,0.6037805,7.0918875
2010-04-05,0.2345459,0.20039469,0.15333578,1.0989861,1.2601207,-1.5293151,-1.4698703,1.2675858,1.243237,1.0550677,-1.507373,0.19006847,-0.42684567,1.1461725,7.167623
2010-04-06,0.24873194,0.2134122,0.15975374,1.0998088,1.1884271,-1.5244573,-1.4675643,1.3393444,1.3340575,1.0910506,-1.5031629,0.04705427,-0.16558544,1.1664283,7.199181
2010-04-07,0.2603821,0.22629532,0.15804243,1.0592836,1.104089,-1.5186293,-1.4673575,1.3409014,1.3951912,1.0231007,-1.4989947,0.048020594,-0.130671,1.2626714,7.2310376
2010-04-08,0.25827247,0.2361547,0.11952922,0.8272817,1.0064435,-1.5139706,-1.4668037,1.2565359,1.404127,0.84637463,-1.4954438,-0.11835515,0.05474197,1.1419647,7.2115
2010-04-09,0.2623568,0.24490787,0.10543902,0.83780867,1.2828362,-1.5086397,-1.4665378,1.3826058,1.4576342,1.0327908,-1.4916079,0.123920135,-0.047593307,1.5892582,7.2668023
2010-04-12,0.26212493,0.25186124,0.08251552,0.79830277,1.167909,-1.503633,-1.4661444,1.3814558,1.492872,0.9895877,-1.4879683,-0.0064685773,-0.015090086,1.525246,7.281827
2010-04-13,0.25606483,0.25613958,0.048443504,0.67592067,1.1779585,-1.4998645,-1.463357,1.3990588,1.5230031,0.989293,-1.4846277,-0.04147693,-0.07287574,1.3872006,7.2860374
2010-04-14,0.26674384,0.26182556,0.06637275,0.86353064,1.2823006,-1.4945675,-1.4612354,1.4822657,1.5744739,1.0935603,-1.4805015,0.2620595,-0.053614903,1.4811196,7.3840113
2010-04-15,0.29021305,0.27134842,0.11524293,1.0073439,1.2848008,-1.488097,-1.4590652,1.5397334,1.6304632,1.1418284,-1.4756747,0.25916052,-0.3823025,2.0934956,7.4810896
2010-04-16,0.291102,0.2791551,0.093384154,0.8998943,0.6758354,-1.484024,-1.4550756,1.2305704,1.5511814,0.6243442,-1.4718223,-0.20299172,0.1366109,1.6820803,7.4354076
2010-04-19,0.28239,0.28355402,0.049979683,0.61659557,0.57866096,-1.4826612,-1.4474179,0.9619656,1.3970164,0.27382112,-1.4684484,-0.087212086,-0.009068477,1.5569154,7.4254904
2010-04-20,0.25161916,0.28055158,-0.04429123,0.5562102,0.1376559,-1.4828713,-1.4399023,0.5267096,1.130073,-0.274278,-1.4662356,-0.29640856,0.47131667,0.8451686,7.3509517
2010-04-21,0.32038504,0.29272392,0.148989,1.7365252,1.1798848,-1.4708216,-1.4414914,0.84270465,1.0712953,0.4170613,-1.4592803,1.3683059,-0.054820534,1.6174961,7.7906485
2010-04-22,0.41611528,0.32275096,0.37640277,1.8426743,1.2737314,-1.4537159,-1.4462119,1.1090188,1.1325569,0.870994,-1.4505324,0.6502619,-0.9951214,1.7421734,8.008539
2010-04-23,0.51220906,0.3671388,0.5593151,1.944471,1.1768798,-1.4371661,-1.447735,1.2425438,1.22376,1.0283186,-1.4411417,0.36909285,-0.34618244,1.7716925,8.139576
2010-04-26,0.56876016,0.4146345,0.5989007,1.5503906,1.0211542,-1.4242734,-1.4473845,1.2598443,1.2910873,0.9842164,-1.4330956,-0.18451737,0.28229332,1.6037451,8.099601
2010-04-27,0.5519615,0.4490708,0.43256304,0.8537313,0.31244537,-1.4189407,-1.4422112,0.942459,1.2162628,0.44534123,-1.4283415,-0.7808989,0.62542593,0.8708315,7.8754015
2010-04-28,0.52566993,0.47104758,0.27386722,0.53257865,0.1926159,-1.4142095,-1.4378256,0.7114681,1.0792565,0.14904955,-1.4241892,-0.097917266,0.19440296,0.88790196,7.8621774
2010-04-29,0.54315597,0.492335,0.26508707,0.7556756,0.90391845,-1.4063649,-1.4338814,0.86787754,1.0469123,0.49502164,-1.4180487,0.62982863,-0.6808883,1.0355893,8.073756
2010-04-30,0.4954286,0.49924955,0.08202102,0.4895539,0.11639916,-1.4041935,-1.4269807,0.6190348,0.9314927,0.13845335,-1.4150494,-0.789673,0.9854107,0.51348805,7.8468466
2010-05-03,0.4843493,0.50243306,0.034498576,0.48358932,0.65135014,-1.3995832,-1.4216902,0.48048958,0.8022909,0.015373753,-1.4105548,0.45665774,-0.30644876,0.6611321,8.004932
2010-05-04,0.4140957,0.49009016,-0.16325885,0.080242954,-0.16588129,-1.3991563,-1.4151154,-0.26445928,0.43518195,-1.0269942,-1.409085,-0.8013383,0.50262415,0.1717582,7.7744193
2010-05-05,0.33217868,0.4628544,-0.3529497,-0.28089857,-0.45250684,-1.3997644,-1.4088079,-0.5534929,0.081426755,-1.1859331,-1.408666,-0.316831,-0.36062723,-0.057426874,7.693572
2010-05-06,0.19406797,0.4117944,-0.65639615,-1.499628,0.13166273,-1.4013176,-1.4048266,-0.29145378,-0.05557574,-0.5101059,-1.4115849,-1.0027548,0.90835756,-0.37632796,7.4008408
