macd,macd_sig,macd_hist,cci,wr_14,boll_up,boll_low,kdj_k,kdj_d,kdj_j,ema20,close_delta,open_close_diff,rsi_14,close,date,news_sent_mean_1d,news_sent_std_1d,news_sent_maxabs_1d,news_count_1d,tech_sent_score
1.1202788,1.1618782,0.117310874,0.6241059,0.9315916,0.4146737,0.3338907,0.9381068,0.94991636,0.7416659,0.42274302,-0.06450379,-0.014219253,1.1055726,16.870584,2016-07-18,0.016666666666666656,0.448608961123159,0.7,9.0,0.0
1.0823292,1.1610992,0.00472635,0.5585477,0.7050785,0.39680195,0.42558482,0.9943394,1.0124025,0.7799271,0.44233677,-0.13224009,0.007977833,1.029265,16.839087,2016-07-19,0.0,0.0,0.0,1.0,0.0
1.0314369,1.149541,-0.11665741,0.45363975,0.43939242,0.3747389,0.51156825,0.96865493,1.0442417,0.6949911,0.45831937,-0.09836783,0.052371994,0.66183025,16.815464,2016-07-20,0.26,0.2966479394838265,0.7,5.0,0.0
0.95177853,1.1231786,-0.28336647,0.27799046,0.030027537,0.34357086,0.5947036,0.40587223,0.8503334,-0.1699889,0.46725708,-0.31848416,0.030174935,-0.10530893,16.740664,2016-07-21,-0.009999999999999998,0.4332051092342595,0.8,10.0,0.0
0.96573335,1.105087,-0.19022873,0.86722726,0.9635476,0.35064077,0.64035034,0.5696547,0.78367,0.21926929,0.49249533,1.0023122,-1.3238139,0.21120602,16.972954,2016-07-22,-0.01111111111111112,0.31797973380564853,0.7,9.0,0.0
0.9405817,1.0852096,-0.21033989,0.64705557,0.6379545,0.31408852,0.7346413,0.41465127,0.679975,0.037218727,0.510387,-0.28465292,-0.058602214,0.15976457,16.90602,2016-07-25,-0.09999999999999999,0.40414518843273806,0.7,7.0,0.0
0.8274554,1.0450007,-0.43929055,-0.042142816,-0.4345461,0.28282863,0.7933203,-0.35594752,0.31626916,-1.0374597,0.51029533,-0.9450593,1.0734041,-0.6729456,16.685537,2016-07-26,-0.2833333333333334,0.20207259421636903,0.4,3.0,0.0
0.7855797,1.0038358,-0.45005456,0.16284099,0.29323003,0.23624569,0.8783682,-0.39370224,0.059366044,-0.82299334,0.52126044,0.6467233,-0.9020803,0.40826675,16.835152,2016-07-27,0.33999999999999997,0.6238990302925627,0.85,5.0,0.0
0.7172633,0.95622516,-0.5226413,-0.4710651,-0.7343949,0.21145992,0.92196816,-0.6443276,-0.20770888,-1.0062836,0.5259467,-0.30156854,0.16334623,-0.077723645,16.764284,2016-07-28,0.35000000000000003,0.660807586719967,0.8,4.0,0.0
0.7605059,0.92742795,-0.31078428,1.2618785,1.1824182,0.24145313,0.9125313,0.07788657,-0.10967888,0.2722328,0.5508285,1.2055048,-1.5235873,0.62017363,17.043818,2016-07-29,0.6,0.0,0.6,1.0,0.0
0.7695056,0.90632385,-0.22415216,1.6649059,0.72149104,0.2569404,0.9070538,0.36615342,0.06586972,0.63012624,0.5701428,-0.18303616,0.11896325,0.6097702,17.00051,2016-08-01,0.0,0.0,0.0,2.0,0.0
0.7648734,0.88844526,-0.18782999,1.1401491,0.66689384,0.2717818,0.9050264,0.5345259,0.24726583,0.7510587,0.5870363,-0.03061513,0.25214583,0.46220145,16.99264,2016-08-02,-0.15,0.6726812023536854,0.7,3.0,0.0
0.74961025,0.87086296,-0.18449493,0.9485163,0.6122304,0.27380016,0.90416145,0.6229399,0.40199432,0.74811155,0.6017383,-0.030656148,-0.14739056,0.29998657,16.98476,2016-08-03,0.325,0.24999999999999997,0.6,4.0,0.0
0.72028446,0.85049593,-0.21585236,0.83795667,0.4483593,0.27647558,0.92378247,0.610432,0.50036526,0.6141658,0.61329633,-0.09835963,0.1855433,0.13468754,16.96114,2016-08-04,0.35,0.4123105625617661,0.8,4.0,0.0
0.70096046,0.8300503,-0.21673813,0.6563208,0.66689384,0.28786206,0.9281736,0.69737816,0.599183,0.670865,0.62608033,0.13871332,-0.03641634,0.24558267,16.99264,2016-08-05,0.26666666666666666,0.46188021535170065,0.8,3.0,0.0
0.64388674,0.8014306,-0.30878553,0.367277,0.038615476,0.28794,0.94009453,0.44007456,0.566702,0.21263605,0.63095886,-0.3862697,0.4962912,0.097397596,16.902079,2016-08-08,0.0,0.848528137423857,0.6,2.0,0.0
0.6140365,0.77212095,-0.31655392,0.36320692,0.4483593,0.287386,0.95978475,0.45807078,0.5519275,0.26373038,0.63973385,0.2572539,-0.32497844,0.27787942,16.96114,2016-08-09,0.19,0.6523036102920173,0.8,5.0,0.0
0.6014212,0.7459627,-0.2810673,0.9248539,0.776128,0.2950809,0.9695607,0.58159524,0.5892974,0.45938337,0.65116185,0.2064332,-0.34716433,0.56218326,17.008385,2016-08-10,0.25,0.33166247903553997,0.7,4.0,0.0
0.61279565,0.7274801,-0.19463259,1.3420161,1.295106,0.31396323,0.9684992,0.8641314,0.72221553,0.8538924,0.6670261,0.32497376,-0.21399303,0.2376524,17.08319,2016-08-11,0.5,0.14142135623730948,0.6,2.0,0.0
0.5985101,0.70962447,-0.18757148,1.0100662,0.994636,0.3246746,0.9689905,0.86212575,0.8100608,0.7518915,0.6781805,-0.18304436,0.25213453,0.3056924,17.03988,2016-08-12,-0.6499999999999999,0.07071067811865478,0.7,2.0,0.0
0.5421221,0.68322414,-0.28379294,0.4335436,0.2046595,0.3262921,0.97223854,0.3287186,0.6647194,-0.11089292,0.68071365,-0.43703294,0.38531712,0.6926267,16.937517,2016-08-15,0.3875,0.2780137886268713,0.65,4.0,0.0
0.33519,0.61764127,-0.72502434,-1.6403825,-1.6320237,0.3607188,0.9148729,-0.4922189,0.25400636,-1.2297993,0.65219104,-1.7917261,2.2720077,-0.78047115,16.520182,2016-08-16,-0.1875,0.5343326338867612,0.7,12.0,0.0
0.15450813,0.5263526,-1.0144947,-2.2996745,-0.9345753,0.39002016,0.86146104,-0.73272365,-0.111739665,-1.2833971,0.6234777,-0.16610414,0.29652876,-0.7235052,16.48081,2016-08-17,-0.024999999999999994,0.20615528128088303,0.3,4.0,0.0
-0.056737572,0.40793213,-1.3200228,-2.25808,-1.332465,0.43755105,0.7822103,-1.0683284,-0.4838616,-1.5126464,0.58412606,-0.77570623,0.7182622,-1.9727939,16.299704,2016-08-18,0.17857142857142858,0.37177181941923154,0.6,7.0,0.0
-0.27917972,0.26540053,-1.591536,-2.1873522,-1.3546062,0.48389733,0.676145,-1.3032064,-0.8217295,-1.5865774,0.5371839,-0.6571739,0.4519084,-2.0676181,16.146156,2016-08-19,-0.24999999999999997,0.264575131106459,0.6,4.0,0.0
-0.46501192,0.11144627,-1.7201657,-1.8402634,-1.3273747,0.5189671,0.58328915,-1.4479182,-1.1022935,-1.551239,0.4918062,-0.16610414,-0.014224856,-2.0917852,16.106785,2016-08-22,0.3666666666666667,0.37527767497325676,0.75,3.0,0.0
-0.61413175,-0.043757927,-1.7342409,-1.4342458,-1.3956025,0.55165523,0.50708437,-1.5741415,-1.3375872,-1.5309455,0.44900605,-0.09835143,0.27433738,-2.1034305,16.083166,2016-08-23,0.03333333333333335,0.3511884584284246,0.4,3.0,0.0
-0.72097224,-0.19087765,-1.6432027,-1.2306136,-1.3728689,0.5680097,0.43683457,-1.6472869,-1.5224111,-1.4650291,0.41086257,0.037080154,0.030174924,-2.0554407,16.091036,2016-08-24,0.3666666666666667,0.3511884584284246,0.7,3.0,0.0
-0.7668764,-0.31843665,-1.4229312,-0.9449355,-1.1454244,0.57445043,0.3872956,-1.5830775,-1.6210817,-1.2313824,0.38216695,0.341873,-0.48034108,-1.8803319,16.169771,2016-08-25,0.48,0.1643167672515498,0.7,5.0,0.0
-0.8516824,-0.4387058,-1.3408407,-0.9121497,-1.5889635,0.56317115,0.3239508,-1.7362399,-1.7454113,-1.3868403,0.34486637,-0.65714926,0.96241885,-1.9332017,16.01623,2016-08-26,-0.20454545454545456,0.404013951154255,0.7,11.0,0.0
-0.8611002,-0.5369447,-1.09276,-0.7727521,-1.2250135,0.5391426,0.28556612,-1.4877821,-1.7333202,-0.9228322,0.32042074,0.5451147,-0.48034132,-1.7122422,16.14222,2016-08-29,0.09999999999999998,0.5366563145999496,0.8,6.0,-0.2
-0.8748779,-0.6184961,-0.9048448,-0.6980749,-1.3501135,0.5110759,0.24862345,-1.3665287,-1.6789079,-0.7505849,0.2951056,-0.18302795,0.20774047,-1.9013137,16.098913,2016-08-30,0.041666666666666685,0.5389032071408247,0.65,6.0,-0.3
-0.8771426,-0.6842239,-0.7266556,-0.6678317,-1.3589219,0.47685248,0.21808827,-1.0207179,-1.5104403,-0.27418447,0.27190956,-0.013724123,0.118957646,-2.1629314,16.09497,2016-08-31,0.18333333333333332,0.8098353742170894,0.75,3.0,-0.3
